"Location","NPA",""
"Wisconsin","353",""
"Wisconsin","274",""
"Wisconsin","262",""
"Wisconsin","920",""
"Wisconsin","715",""
"Wisconsin","608",""
"Wisconsin","414",""
"Wisconsin","534",""
"West Virginia","681",""
"West Virginia","304",""
"Wyoming","307",""
"YUKON-NW TERR. - NUNAVUT","867",""
